id,branch,found,course,daynight,major,school,school_area,sex,age,hire_state,b022,b023,b036,b038,b039,b040,f009,i001,i033,i037,i042,i046,i066,i076,l001,l009,l016,m002,k110,k004,k007,k009,k011,q001,q002,q003,q004,q006,p001,p026,p029,p036,p045
5.0,1.0,3.0,3.0,0,1.0,1.0,1,1,26.333333333333332,0,1.0,1.0,0,1,0,0,1.0,0,0,0.0,0.0,0,146,0,1.0,0,792,7,0,0,0,0,0,3.0,2.0,8.0,0,1.0,1.0,5.0,5.0,6.0,0
167.0,1.0,3.0,5.0,1,1.0,1.0,1,1,24.333333333333332,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,30,1,0,0,0,0,0,2.0,3.0,5.0,1,3.0,1.0,5.0,5.0,2.0,0
187.0,1.0,3.0,3.0,0,1.0,1.0,0,1,28.5,0,30.0,7.0,0,1,0,1,1.0,0,865,0.0,0.0,0,0,0,1.0,1,35,2,0,0,0,0,1,5.0,10.0,7.0,0,3.0,1.0,5.0,6.0,3.01,0
237.0,1.0,3.0,3.0,1,1.0,1.0,1,1,23.5,0,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,3,5,0,0,0,0,1,4.0,2.0,7.0,0,3.0,1.0,3.0,4.0,3.0,0
260.0,1.0,3.0,5.0,1,1.0,1.0,0,1,24.75,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,100,1,0,0,0,0,0,1.0,5.0,6.0,0,1.0,1.0,3.0,3.0,2.0,0
272.0,1.0,3.0,3.0,0,1.0,1.0,1,0,23.75,0,9.0,8.0,0,1,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,700,0,0,0,0,0,1,3.0,0.0,8.0,0,3.0,1.0,3.0,2.0,3.01,1
283.0,1.0,3.0,5.0,0,1.0,1.0,0,1,23.666666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,2,9,0,0,0,0,0,3.0,0.0,8.0,0,2.0,1.0,3.0,3.0,3.01,0
297.0,1.0,3.0,3.0,0,1.0,1.0,0,0,22.5,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,144,2,0,0,0,0,0,5.0,0.0,7.0,1,1.0,1.0,5.0,3.0,4.0,0
359.0,1.0,3.0,3.0,0,2.0,1.0,1,1,23.916666666666668,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,600,0,0,0,0,0,0,4.0,1.0,7.0,0,2.0,1.0,3.0,3.0,1.0,0
378.0,1.0,3.0,3.0,0,2.0,1.0,0,0,23.833333333333332,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,100,0,0,0,0,0,0,4.0,3.0,7.0,0,4.0,1.0,3.0,3.0,1.0,1
423.0,1.0,3.0,3.0,0,2.0,1.0,0,1,23.5,0,5.0,3.0,0,1,0,1,1.0,0,0,0.0,0.0,0,0,0,1.0,1,300,5,0,0,0,0,0,3.0,2.0,5.0,0,1.0,1.0,3.0,3.0,3.0,0
447.0,1.0,3.0,3.0,0,2.0,1.0,0,0,26.916666666666668,0,4.0,2.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,0,8,2,0,0,0,0,0,5.0,1.0,6.0,0,1.0,1.0,3.0,3.0,2.0,1
499.0,1.0,3.0,3.0,0,2.0,1.0,0,0,25.416666666666668,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,3,1,0,0,0,0,0,4.0,2.0,9.0,0,1.0,1.0,4.0,3.0,3.0,1
603.0,1.0,3.0,3.0,0,2.0,1.0,0,1,22.0,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,200,3,0,0,0,0,0,4.0,2.0,8.0,1,5.0,1.0,3.0,3.0,3.01,0
914.0,1.0,3.0,3.0,0,2.0,1.0,0,1,24.083333333333332,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,120,2,0,0,0,0,0,4.0,1.0,7.0,0,3.0,1.0,3.0,3.0,3.01,0
915.0,1.0,3.0,3.0,0,2.0,1.0,0,1,23.25,1,0.0,0.0,0,0,0,0,10.0,0,0,0.0,0.0,0,0,0,1.0,1,2,1,0,0,0,0,0,1.0,0.0,6.0,0,3.0,1.0,3.0,3.0,1.0,0
990.0,1.0,3.0,3.0,0,2.0,1.0,0,0,51.333333333333336,0,10.0,1.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,20,2,0,0,0,0,0,3.0,1.0,5.0,1,2.0,2.0,5.0,2.0,4.0,1
1157.0,1.0,3.0,3.0,0,2.0,1.0,1,1,23.166666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,5,0,0,0,0,0,0,3.0,2.0,5.0,0,3.0,1.0,3.0,3.0,3.01,0
1296.0,1.0,3.0,3.0,0,2.0,1.0,0,1,21.916666666666668,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,3,1,0,0,0,0,0,5.0,2.0,10.0,0,3.0,1.0,3.0,3.0,3.01,0
1408.0,1.0,3.0,3.0,0,3.0,1.0,0,0,24.5,0,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,24,1,0,0,0,0,0,5.0,2.0,8.0,0,4.0,1.0,3.0,3.0,3.0,1
1536.0,1.0,3.0,3.0,0,3.0,1.0,0,1,23.916666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,1,3,0,0,0,0,0,3.0,0.0,6.0,0,2.0,1.0,3.0,3.0,3.01,0
1550.0,1.0,3.0,3.0,0,3.0,1.0,0,1,22.666666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,0,1,2,0,0,0,0,0,4.0,5.0,5.0,0,3.0,1.0,6.0,3.0,3.01,0
1785.0,1.0,3.0,3.0,0,4.0,1.0,0,0,25.0,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,10,1,0,0,0,0,0,4.0,1.0,7.0,0,4.0,1.0,3.0,3.0,4.0,1
1802.0,1.0,3.0,3.0,0,4.0,1.0,0,0,22.916666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,40,2,0,0,0,0,0,4.0,10.0,6.0,1,3.0,1.0,4.0,3.0,3.0,0
2009.0,1.0,3.0,5.0,1,4.0,1.0,0,0,26.25,1,0.0,0.0,0,0,0,0,2.0,0,725,0.0,0.0,0,0,0,1.0,1,24,4,0,0,0,0,0,4.0,1.0,6.0,0,3.0,1.0,3.0,2.0,4.0,1
2019.0,1.0,3.0,3.0,1,4.0,1.0,0,1,21.583333333333332,1,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,86,3,0,0,0,0,0,3.0,0.0,7.0,0,4.0,1.0,5.0,3.0,3.01,0
2062.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.0,0,4.0,0.0,1,1,1,1,2.0,0,0,0.0,0.0,0,0,0,1.0,1,500,0,0,0,1,0,0,3.0,1.0,8.0,1,4.0,1.0,3.0,2.0,3.01,1
2076.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.916666666666668,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,24,0,0,0,0,0,0,4.0,6.0,6.0,0,4.0,1.0,2.0,3.0,3.0,1
2085.0,1.0,3.0,5.0,0,4.0,1.0,0,0,25.666666666666668,1,0.0,0.0,0,0,0,0,2.0,1,640,0.0,0.0,0,0,190,1.0,1,576,0,0,0,1,0,1,4.0,1.0,6.0,1,3.0,1.0,5.0,2.0,3.01,0
2128.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.416666666666668,1,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,0,1.0,1,16,3,0,0,1,0,1,4.0,4.0,6.0,1,2.0,1.0,3.0,3.0,3.01,1
2358.0,1.0,3.0,3.0,0,4.0,1.0,0,0,25.583333333333332,0,0.0,0.0,0,0,0,0,7.0,0,0,0.0,0.0,0,0,187,1.0,1,800,4,0,0,0,0,0,5.0,5.0,8.0,0,1.0,1.0,3.0,3.0,3.01,1
2604.0,1.0,3.0,3.0,0,4.0,1.0,1,0,25.333333333333332,1,0.0,0.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,15,0,0,0,0,0,1,3.0,3.0,6.0,0,4.0,1.0,5.0,5.0,4.0,1
2611.0,1.0,3.0,3.0,0,4.0,1.0,1,0,24.75,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,40,0,0,0,0,0,1,4.0,1.0,7.0,1,4.0,1.0,5.0,3.0,3.0,1
2638.0,1.0,3.0,3.0,0,4.0,1.0,1,1,21.666666666666668,1,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,600,3,1,0,1,0,0,1.0,0.0,5.0,0,3.0,1.0,3.0,3.0,3.01,0
2694.0,1.0,3.0,3.0,0,4.0,1.0,0,0,25.0,1,0.0,0.0,0,0,0,0,6.0,0,0,0.0,0.0,0,0,0,1.0,1,150,3,0,0,0,0,0,5.0,15.0,5.0,1,1.0,1.0,3.0,3.0,2.0,1
2735.0,1.0,3.0,5.0,1,4.0,1.0,0,1,24.083333333333332,0,1.0,1.0,0,0,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,1,27,0,0,0,0,0,0,3.0,5.0,8.0,0,4.0,1.0,3.0,3.0,1.0,0
2857.0,1.0,3.0,5.0,1,4.0,1.0,1,1,25.5,0,3.0,1.0,0,0,1,1,2.0,0,0,0.0,0.0,0,0,0,1.0,1,720,0,0,0,0,0,1,4.0,7.0,6.0,0,3.0,1.0,3.0,2.0,3.0,0
2890.0,1.0,3.0,3.0,0,4.0,1.0,0,0,24.916666666666668,0,0.0,0.0,0,0,0,0,1.0,0,0,0.0,0.0,0,0,0,1.0,1,10,0,0,0,0,0,0,3.0,7.0,7.0,0,4.0,1.0,3.0,3.0,4.0,1
2950.0,1.0,3.0,3.0,0,4.0,1.0,0,0,23.75,1,0.0,0.0,0,0,0,0,2.0,0,300,0.0,0.0,0,0,0,1.0,1,4,0,0,0,0,0,0,4.0,8.0,6.0,1,4.0,1.0,4.0,4.0,4.0,1
2993.0,1.0,3.0,3.0,1,4.0,1.0,0,0,25.166666666666668,0,6.0,0.0,0,1,0,0,2.0,0,0,0.0,0.0,0,0,0,1.0,0,180,3,0,0,0,0,0,4.0,0.0,8.0,0,3.0,1.0,3.0,3.0,3.0,1
2998.0,1.0,3.0,2.0,1,4.0,1.0,0,0,24.25,1,0.0,0.0,0,0,0,0,5.0,0,0,0.0,0.0,0,0,0,1.0,1,80,1,0,0,0,0,0,2.0,1.0,5.0,0,4.0,1.0,2.0,3.0,2.0,1
3044.0,1.0,3.0,3.0,0,4.0,1.0,1,1,22.25,1,0.0,0.0,0,0,0,0,9.0,0,600,0.0,0.0,0,0,0,1.0,1,900,1,0,0,0,0,0,3.0,1.0,7.0,0,3.0,1.0,3.0,3.0,3.01,0
